age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,country,salary
48,0,242406,4,7,1,6,4,4,1,40,0,0
21,0,197200,3,10,1,6,3,4,1,40,1,0
19,0,415887,2,9,0,0,5,4,0,25,1,0
31,0,84154,3,10,0,11,0,4,1,38,1,1
48,2,265477,3,12,0,9,0,4,1,40,1,0
31,0,415887,4,5,0,6,0,4,1,43,1,0
53,2,88506,5,13,0,9,0,4,1,40,1,0
24,0,172987,5,13,0,12,0,4,1,50,1,0
49,0,94638,2,9,2,0,4,4,0,40,1,0
25,0,289980,2,9,1,5,1,4,1,35,1,0
57,1,337895,5,13,0,9,0,2,1,40,1,1
53,0,144361,2,9,0,6,0,4,1,38,1,0
44,0,128354,1,14,2,3,4,4,0,40,1,0
41,1,101603,3,11,0,2,0,4,1,40,1,0
29,0,271466,3,11,1,9,1,4,1,43,1,0
25,0,32275,3,10,0,3,5,3,0,40,1,0
18,0,226956,2,9,1,7,3,4,0,30,1,0
47,0,51835,3,15,0,9,5,4,0,60,0,1
50,1,251585,5,13,2,3,1,4,1,55,1,1
47,2,109832,2,9,2,3,1,4,1,60,1,0
43,0,237993,3,10,0,12,0,4,1,40,1,1
46,0,216666,4,4.5,0,6,0,4,1,40,0,0
35,0,56352,3,11,0,7,0,4,1,40,0,0
41,0,147372,2,9,0,0,0,4,1,48,1,0
30,0,188146,2,9,0,6,0,4,1,40,1,0
30,0,59496,5,13,0,11,0,4,1,40,1,0
32,0,293936,4,4.5,2,9,1,4,1,40,1,0
48,0,149640,2,9,0,13,0,4,1,40,1,0
42,0,116632,0,16,0,9,0,4,1,45,1,1
29,0,105598,3,10,2,12,1,4,1,58,1,0
36,0,155537,2,9,0,2,0,4,1,40,1,0
28,0,183175,3,10,2,0,1,4,0,40,1,0
53,0,169846,2,9,0,0,5,4,0,40,1,1
49,2,191681,3,10,0,3,0,4,1,50,1,1
25,0,200681,3,10,1,9,3,4,1,40,1,0
19,0,101509,3,10,1,9,3,4,1,32,1,0
31,0,309974,5,13,2,11,3,2,0,40,1,0
29,2,162298,5,13,0,11,0,4,1,70,1,1
23,0,211678,3,10,1,6,1,4,1,40,1,0
78,0,124744,3,10,0,9,2,4,1,20,1,0
27,0,213921,2,9,1,7,3,4,1,40,0,0
40,0,32214,3,12,0,0,0,4,1,40,1,0
67,0,212759,4,6,0,9,0,4,1,2,1,0
18,0,309634,4,7,1,7,3,4,0,22,1,0
31,1,125927,4,4.5,0,4,0,4,1,40,1,0
18,0,415887,2,9,1,11,1,4,1,30,1,0
52,0,276515,5,13,0,7,0,4,1,40,0,0
46,0,51618,2,9,0,7,5,4,0,40,1,0
59,0,159937,2,9,0,11,0,4,1,48,1,0
44,0,343591,2,9,2,2,1,4,0,40,1,1
53,0,346253,2,9,2,11,3,4,0,35,1,0
49,1,268234,2,9,0,10,0,4,1,40,1,1
33,0,202051,1,14,0,9,0,4,1,50,1,0
30,0,54334,4,5,1,11,1,4,1,40,1,0
43,1,410867,0,16,1,9,1,4,0,50,1,1
57,0,249977,3,11,0,9,0,4,1,40,1,0
37,0,286730,3,10,2,2,4,4,0,40,1,0
28,0,212563,3,10,2,6,4,2,0,25,1,0
30,0,117747,2,9,0,11,5,1,0,35,1,0
34,1,226296,5,13,0,10,0,4,1,40,1,1
29,1,115585,3,10,1,5,1,4,1,50,1,0
48,2,191277,0,16,0,9,0,4,1,60,1,1
37,0,202683,3,10,0,11,0,4,1,48,1,1
48,0,171095,3,12,2,3,4,4,0,40,0,0
32,1,249409,2,9,1,7,3,2,1,40,1,0
76,0,124191,1,14,0,3,0,4,1,40,1,1
44,0,198282,5,13,0,3,0,4,1,60,1,1
47,2,149116,1,14,1,9,1,4,0,50,1,0
20,0,188300,3,10,1,12,3,4,0,40,1,0
29,0,103432,2,9,1,2,1,4,1,40,1,0
32,2,317660,2,9,0,2,0,4,1,40,1,1
17,0,304873,4,6,1,9,3,4,0,32,1,0
30,0,194901,4,7,1,5,3,4,1,40,1,0
31,1,189265,2,9,1,0,1,4,0,40,1,0
42,0,124692,2,9,0,5,0,4,1,40,1,0
24,0,415887,5,13,1,11,2,4,1,40,1,0
38,0,65324,3,15,0,9,0,4,1,40,1,1
56,2,335605,2,9,0,7,0,4,1,50,0,1
28,0,377869,3,10,0,11,5,4,0,25,1,0
36,0,102864,2,9,1,6,3,4,0,40,1,0
53,0,95647,4,5,0,5,0,4,1,50,1,0
56,2,303090,3,10,0,11,0,4,1,50,1,0
49,1,197371,3,11,0,2,0,2,1,40,1,1
55,0,247552,3,10,0,11,0,4,1,56,1,0
22,0,102632,2,9,1,2,1,4,1,41,1,0
21,0,199915,3,10,1,7,3,4,0,40,1,0
40,0,118853,5,13,0,3,0,4,1,60,1,0
30,0,77143,5,13,1,3,3,2,1,40,0,0
29,1,267989,5,13,0,9,0,4,1,50,1,1
19,0,301606,3,10,1,7,3,2,1,35,1,0
47,0,287828,5,13,0,3,5,4,0,40,1,1
20,0,111697,3,10,1,0,3,4,0,28,1,0
31,0,114937,3,12,0,0,0,4,1,40,1,1
35,0,129305,2,9,0,9,0,4,1,40,1,0
39,0,365739,3,10,2,2,1,4,1,40,1,0
28,0,69621,3,12,1,11,1,4,0,60,1,0
24,0,43323,2,9,1,7,1,4,0,40,1,0
38,2,120985,2,9,0,2,0,4,1,35,1,0
37,0,254202,5,13,0,11,0,4,1,50,1,0
46,0,146195,3,12,2,12,1,2,0,36,1,0
38,1,125933,1,14,0,9,0,4,1,40,0,1
43,2,56920,2,9,0,2,0,4,1,60,1,0
27,0,163127,3,11,0,0,5,4,0,35,1,0
20,0,34310,3,10,1,11,3,4,1,20,1,0
49,0,81973,3,10,0,2,0,1,1,40,1,1
61,2,66614,2,9,0,2,0,4,1,40,1,0
27,0,232782,3,10,1,11,3,4,0,40,1,0
19,0,316868,3,10,1,7,3,4,1,30,0,0
45,0,196584,3,11,1,9,1,4,0,40,1,1
70,0,105376,3,10,1,12,2,4,1,40,1,0
31,0,185814,2,9,1,13,4,2,0,30,1,0
22,0,175374,3,10,0,7,0,4,1,24,1,0
36,0,108293,2,9,2,7,4,4,0,24,1,0
64,0,181232,4,7,0,2,0,4,1,40,1,0
43,0,174662,3,10,2,9,1,4,0,40,1,0
47,1,186009,3,10,2,0,4,4,0,38,0,0
34,0,198183,2,9,1,0,1,4,0,40,1,0
33,0,163003,5,13,1,3,2,1,0,40,0,0
21,0,296158,2,9,1,2,3,4,1,35,1,0
52,0,252903,2,9,2,9,1,4,1,45,1,1
48,0,187715,2,9,0,2,0,4,1,46,1,0
23,0,214542,5,13,1,5,1,4,1,40,1,0
71,2,415887,3,10,2,11,4,2,1,2,1,0
29,0,191535,2,9,2,2,1,4,1,60,1,0
42,0,228456,5,13,2,7,2,2,1,50,1,0
68,0,38317,4,4.5,2,9,1,4,0,20,1,0
25,0,252752,2,9,1,7,4,4,0,40,1,0
44,2,78374,1,14,2,3,4,1,0,40,1,0
28,0,88419,2,9,1,3,1,1,0,40,0,0
45,2,201080,1,14,0,11,0,4,1,40,1,1
36,0,207157,3,10,2,7,4,4,0,40,0,0
39,1,235485,3,12,1,3,1,4,1,42,1,0
46,1,102628,1,14,2,10,4,4,1,40,1,0
18,0,25828,4,7,1,5,3,4,1,16,1,0
66,1,54826,3,11,2,9,1,4,0,20,1,0
27,0,124953,2,9,1,7,1,4,1,40,1,0
28,1,175325,2,9,0,10,0,4,1,40,1,0
51,0,96062,3,10,0,11,0,4,1,40,1,1
27,0,415887,5,13,1,2,1,4,1,50,1,0
28,1,149624,5,13,0,9,0,4,1,40,1,1
27,0,253814,2,9,2,11,4,4,0,25,1,0
21,0,312956,2,9,1,2,3,2,1,40,1,0
34,0,415887,2,9,1,5,1,2,1,40,1,0
18,0,183930,2,9,1,7,3,4,1,12,1,0
33,0,37274,5,13,0,9,0,4,1,65,1,0
44,1,181344,3,10,0,3,0,2,1,38,1,1
43,0,114580,3,10,2,0,1,4,0,40,1,0
30,0,415887,3,10,1,2,1,2,1,45,1,0
40,0,286370,4,4.5,0,6,0,4,1,40,0,1
37,1,29054,3,10,0,0,0,4,1,42,1,1
34,0,304030,2,9,0,0,0,2,1,40,1,0
41,2,143129,5,13,2,3,1,4,0,40,1,0
53,0,135105,5,13,2,9,1,4,0,50,1,0
31,0,99928,1,14,0,9,5,4,0,50,1,0
58,1,109567,0,16,0,9,0,4,1,1,1,1
38,0,155222,3,10,2,6,1,2,0,28,1,0
24,0,159567,3,10,0,6,0,4,1,40,1,0
41,1,415887,5,13,0,2,0,2,1,40,1,0
47,0,120939,3,10,0,12,0,4,1,45,1,0
41,1,130760,5,13,0,12,0,4,1,24,1,0
23,0,197387,4,4.5,0,13,2,4,1,40,0,0
36,0,99374,3,10,2,2,1,4,1,40,1,0
40,1,56795,1,14,1,3,1,4,0,55,1,1
35,0,138992,1,14,0,9,2,4,1,40,1,1
24,2,32921,2,9,1,11,1,4,1,40,1,0
26,0,397317,1,14,1,9,1,4,0,40,1,0
19,0,170653,2,9,1,9,3,4,1,40,0,0
51,0,259323,5,13,0,3,0,4,1,50,1,1
42,1,254817,3,10,1,9,1,4,0,40,1,0
37,1,48211,2,9,2,0,4,4,0,35,1,0
18,0,140164,4,7,1,11,3,4,0,40,1,0
36,0,128757,5,13,0,7,0,2,1,36,1,1
35,0,36270,2,9,2,2,1,4,1,60,1,0
58,2,210563,2,9,0,11,5,4,0,35,1,1
17,0,65368,4,7,1,11,3,4,0,12,1,0
44,1,160943,2,9,0,13,0,2,1,40,1,0
37,0,208358,2,9,0,2,0,4,1,40,1,1
35,0,153790,3,10,1,11,1,0,0,40,1,0
60,0,85815,2,9,0,2,0,1,1,40,1,0
54,2,125417,4,4.5,0,6,0,4,1,40,1,1
37,0,415887,5,13,1,3,1,2,1,60,1,1
50,0,313321,3,12,2,11,1,4,0,40,1,0
38,0,182609,5,13,0,11,0,4,1,50,0,0
45,0,109434,5,13,0,9,0,4,1,55,1,0
25,0,255004,4,6,1,2,1,4,1,40,1,0
31,0,197860,3,10,0,5,0,4,1,40,1,0
64,0,187656,4,4.5,2,9,1,4,1,40,1,0
78,0,51744,2,9,1,7,1,2,1,40,1,0
54,0,176681,2,9,0,0,0,2,1,20,1,0
53,1,140359,4,4.5,1,6,1,4,0,35,1,0
18,0,243313,2,9,1,11,3,4,0,40,1,0
60,0,24215,4,6,2,9,1,0,0,10,1,0
66,2,167687,2,9,0,4,0,4,1,50,1,0
75,0,314209,3,11,2,0,1,4,0,20,0,0
65,0,176796,2,9,2,0,1,4,0,40,1,0
35,0,415887,4,7,2,13,1,2,1,40,1,0
41,0,130408,2,9,2,11,4,2,0,38,1,0
25,0,159732,3,10,1,0,1,4,1,42,1,0
33,0,110978,3,10,2,2,2,3,0,40,1,0
28,0,76714,3,15,1,9,1,4,1,55,1,1
59,1,268700,2,9,0,7,0,4,1,40,1,0
40,1,170525,3,10,1,0,1,4,0,38,1,0
41,0,180138,5,13,0,3,0,4,1,50,0,1
38,1,115076,1,14,0,3,0,4,1,70,1,1
23,0,115458,2,9,1,13,3,4,1,40,1,0
40,0,347890,5,13,0,9,0,4,1,40,1,1
41,2,196001,2,9,0,7,5,4,0,20,1,0
24,1,273905,3,12,0,10,0,4,1,50,1,0
20,0,119156,3,10,1,9,3,4,1,20,1,0
38,0,179488,3,10,2,2,1,4,1,40,1,0
56,0,203580,2,9,0,0,0,4,1,35,1,0
58,0,236596,2,9,0,0,0,4,1,45,1,1
32,0,183916,2,9,1,7,1,4,0,34,1,0
40,0,207578,3,12,0,12,0,4,1,60,1,1
45,0,153141,2,9,0,0,0,4,1,40,1,0
41,0,112763,3,15,0,9,5,4,0,40,1,1
42,0,390781,5,13,0,0,5,2,0,40,1,0
59,1,171328,4,6,2,7,4,2,0,30,1,0
19,1,27382,3,10,1,0,3,4,1,40,1,0
58,0,259014,3,10,1,13,1,4,1,20,1,0
42,2,303044,2,9,0,4,0,1,1,40,0,1
20,0,117789,2,9,1,7,3,4,0,40,1,0
32,0,172579,2,9,2,7,1,4,0,30,1,0
45,0,187666,3,11,2,3,1,4,0,45,1,0
50,0,204518,4,4.5,2,2,1,4,1,40,1,0
36,0,150042,5,13,2,9,3,4,0,40,1,0
45,0,98092,2,9,0,11,0,4,1,60,1,0
17,0,245918,4,7,1,7,3,4,1,12,1,0
59,0,146013,3,10,0,11,0,4,1,40,1,0
26,0,378322,4,7,0,2,0,4,1,40,1,0
37,2,257295,3,10,0,3,0,1,1,75,0,1
19,0,218956,3,10,1,9,3,4,1,24,0,0
64,0,21174,2,9,0,3,0,4,1,40,1,1
33,0,185480,5,13,1,9,1,4,0,45,1,0
33,0,222205,2,9,0,2,5,4,0,40,1,1
61,0,69867,2,9,0,3,0,4,1,40,1,1
17,0,191260,4,5,1,7,3,4,1,24,1,0
50,2,30653,1,14,0,4,0,4,1,98,1,0
27,1,209109,1,14,1,9,3,4,1,35,1,0
30,0,70377,2,9,2,9,3,4,0,40,1,0
43,0,415887,2,9,0,5,0,2,1,40,1,0
44,0,170924,3,10,0,2,0,4,1,40,1,1
35,0,190174,3,10,1,3,1,4,0,40,1,0
25,0,193787,3,10,1,12,3,4,0,40,1,0
24,0,279472,3,10,0,6,5,4,0,48,1,1
22,0,34918,5,13,1,9,1,4,0,15,0,0
42,1,97688,3,10,0,2,0,4,1,40,1,1
34,0,175413,3,12,2,11,4,2,0,45,1,0
60,0,173960,5,13,2,9,1,4,0,42,1,0
21,0,205759,2,9,1,5,3,4,1,40,1,0
57,1,415887,1,14,0,11,0,4,1,40,1,1
41,0,220531,3,15,0,9,0,4,1,60,1,1
50,0,176609,3,10,2,7,1,4,1,45,1,0
25,0,371987,5,13,1,3,1,4,0,40,1,0
50,0,193884,4,4.5,0,2,0,4,1,40,0,0
36,0,200352,5,13,0,9,0,4,1,45,1,0
31,0,127595,2,9,2,9,1,4,0,40,1,0
29,1,220419,5,13,1,10,1,4,1,56,1,0
21,0,231931,3,10,1,11,3,4,1,45,1,0
27,0,248402,5,13,1,12,4,2,0,40,1,0
65,0,111095,2,9,0,13,0,4,1,16,1,0
37,2,57424,5,13,2,11,1,4,0,60,1,0
39,0,157443,1,14,0,9,5,1,0,40,1,0
24,0,278130,2,9,1,2,3,4,1,40,1,0
38,0,169469,2,9,2,11,1,4,1,80,1,0
48,0,146268,5,13,0,0,0,4,1,40,1,1
21,0,153718,3,10,1,7,1,1,0,25,1,0
31,0,217460,2,9,0,13,0,4,1,45,1,1
55,0,238638,2,9,0,11,0,4,1,40,1,1
24,0,303296,3,10,0,0,5,1,0,40,0,0
43,0,173321,2,9,2,0,1,4,0,40,1,0
26,0,193945,3,12,1,12,1,4,1,45,1,0
46,0,83082,3,12,1,9,1,4,0,33,1,0
35,0,193815,3,12,0,0,0,4,1,40,1,1
41,2,34987,3,10,0,4,0,4,1,54,1,1
26,0,59306,5,13,1,11,1,4,1,40,1,0
34,0,142897,1,14,0,3,0,1,1,35,0,1
19,0,415887,3,10,1,9,3,2,0,25,1,0
36,2,205607,5,13,2,9,1,2,0,40,1,1
22,0,199698,3,10,1,11,3,4,1,15,1,0
24,0,191954,3,10,1,6,1,4,1,40,1,0
77,2,138714,3,10,0,11,0,4,1,40,1,0
22,0,399087,4,4.5,0,6,2,4,0,40,0,0
29,0,415887,3,10,1,12,1,4,0,40,1,0
62,0,159841,2,9,2,7,1,4,0,24,1,0
39,2,174308,2,9,0,3,0,4,1,40,1,0
43,0,50356,3,10,0,2,0,4,1,50,1,0
35,0,186110,2,9,2,13,1,4,1,45,1,0
29,0,200381,4,7,1,3,1,4,0,40,1,0
76,2,174309,1,14,0,2,0,4,1,10,1,0
63,2,78383,2,9,0,4,0,4,1,45,1,0
23,0,211601,3,11,1,9,3,2,0,15,1,0
43,0,187728,3,10,0,9,5,4,0,50,1,1
58,2,321171,2,9,0,5,0,4,1,40,1,0
66,0,127921,2,9,1,13,1,4,1,55,1,0
41,0,206565,3,10,1,2,1,2,1,45,1,0
26,0,224563,5,13,1,0,1,4,1,40,1,0
47,0,178686,3,11,1,7,1,4,1,40,1,0
55,1,98545,4,6,0,0,0,4,1,40,1,0
53,0,242606,2,9,0,13,0,4,1,40,1,0
17,0,270942,4,4.5,1,7,2,4,1,48,0,0
30,0,94235,2,9,1,2,2,4,1,40,1,0
49,0,71195,1,14,1,9,1,4,1,60,1,0
19,0,104112,2,9,1,11,4,2,1,30,0,0
45,0,261192,2,9,0,7,0,2,1,40,1,0
26,0,94936,3,12,1,11,1,4,1,40,1,0
38,0,296478,3,11,0,2,0,4,1,40,1,1
36,1,119272,2,9,0,10,0,4,1,40,1,1
33,0,85043,2,9,1,4,1,4,1,20,1,0
22,1,293364,3,10,1,10,3,2,0,40,1,0
43,2,241895,5,13,1,11,1,4,1,42,1,0
67,0,36135,4,7,0,9,0,4,1,8,1,0
30,0,151989,3,11,2,9,4,4,0,40,1,0
56,0,101128,3,12,2,7,1,4,1,25,0,0
31,0,156464,5,13,1,9,3,4,1,25,1,0
33,0,117963,5,13,0,3,0,4,1,40,1,1
26,0,192262,2,9,0,7,0,4,1,40,1,0
33,0,111363,5,13,0,3,0,4,1,40,1,1
46,1,329752,4,7,0,13,0,4,1,30,1,0
59,0,372020,5,13,0,9,0,4,1,40,1,1
38,1,95432,2,9,0,0,0,4,1,40,1,1
65,0,161400,4,7,2,7,4,3,1,40,1,0
40,0,96129,3,11,0,12,0,4,1,40,1,1
42,0,111949,2,9,0,0,5,4,0,35,1,0
26,2,117125,4,5,0,2,0,4,1,40,0,0
36,0,348022,4,6,0,7,5,4,0,24,1,0
62,0,270092,1,14,0,9,0,4,1,40,1,1
43,0,180609,5,13,0,13,0,4,1,45,1,0
43,0,174575,5,13,2,3,1,4,1,45,1,1
22,0,410439,2,9,2,11,1,4,1,55,1,0
28,0,92262,2,9,0,2,0,4,1,40,1,0
56,2,183081,3,10,0,11,0,4,1,45,1,0
22,0,362589,3,12,1,11,1,4,0,15,1,0
57,0,212448,5,13,2,3,1,4,0,45,1,1
39,0,415887,2,9,2,11,4,4,0,40,1,0
26,1,185885,3,10,1,0,4,4,0,15,1,0
17,0,89821,4,7,1,7,3,4,1,10,1,0
40,1,184018,3,11,0,6,0,4,1,38,1,1
45,0,256649,2,9,0,6,0,2,1,40,1,0
44,0,160323,2,9,1,2,1,2,1,40,1,0
20,1,350845,3,10,1,0,3,4,0,10,1,0
33,0,267404,2,9,0,2,5,4,0,40,1,0
23,0,35633,3,10,1,11,1,4,1,40,1,0
46,2,80914,1,14,2,3,1,4,1,30,1,0
38,0,172927,2,9,0,11,0,4,1,50,1,0
54,0,174319,2,9,2,13,1,4,1,40,1,0
46,0,214955,4,4.5,2,2,1,4,0,45,1,0
25,0,344991,3,10,0,2,0,4,1,40,1,0
46,0,108699,3,10,2,11,1,4,0,40,1,0
36,1,117312,3,10,0,13,5,4,0,40,1,0
23,0,396099,2,9,1,7,1,4,0,25,1,0
29,0,134152,2,9,2,6,1,4,1,40,1,0
44,0,162028,3,10,0,0,5,4,0,6,1,1
19,0,25429,3,10,1,0,3,4,0,16,1,0
19,0,232392,2,9,1,7,2,4,0,40,1,0
35,0,220098,2,9,0,7,5,4,0,40,1,1
27,0,301302,5,13,1,2,1,4,1,50,1,0
46,2,277946,3,12,2,2,1,4,1,40,1,0
34,1,98101,5,13,0,3,0,4,1,45,1,1
34,0,196164,2,9,1,7,1,4,0,35,1,0
44,0,115562,3,10,0,12,0,4,1,40,1,0
45,0,96975,3,10,2,5,4,4,0,40,1,0
20,0,137300,2,9,1,9,2,4,0,35,1,0
25,0,86872,5,13,0,3,0,4,1,55,1,1
52,2,132178,5,13,0,3,0,4,1,50,1,1
20,0,415887,3,10,1,5,3,4,1,40,1,0
28,0,108574,3,10,1,7,1,4,0,40,1,0
50,1,288353,5,13,0,10,0,4,1,40,1,1
34,0,227689,3,11,2,12,1,4,0,64,1,0
28,0,166481,4,4.5,0,5,0,3,1,40,0,0
41,0,415887,1,14,0,3,0,4,1,65,1,1
28,0,110145,2,9,0,0,0,4,1,40,1,0
46,2,317253,2,9,0,2,0,4,1,25,1,0
28,0,123147,3,10,0,9,5,4,0,40,1,1
32,0,364657,3,10,0,3,0,4,1,50,1,0
41,1,42346,3,10,2,7,1,2,0,24,1,0
24,0,241951,2,9,1,5,4,2,0,40,1,0
33,0,118500,3,10,2,3,4,4,0,40,1,0
46,0,188386,0,16,0,3,0,4,1,60,1,1
31,1,415887,3,10,0,6,0,4,1,40,1,0
35,0,92440,4,8,2,2,1,4,1,50,1,1
52,0,190762,4,4.5,0,6,0,4,1,40,0,0
30,0,415887,4,7,1,7,3,4,0,19,1,0
34,1,243867,4,7,2,6,1,2,1,40,1,0
34,1,240283,2,9,2,13,4,4,0,40,1,0
20,0,61777,3,10,0,11,0,4,1,30,1,0
17,0,175024,4,7,1,5,3,4,1,18,1,0
32,1,92003,5,13,0,3,5,4,0,40,1,1
29,0,188401,2,9,2,4,1,4,1,40,1,0
33,0,228528,4,6,1,2,4,4,0,35,1,0
25,0,133373,2,9,0,13,0,4,1,60,1,0
36,1,255191,1,14,1,9,1,4,1,40,1,0
23,0,204653,2,9,1,5,1,4,1,72,0,0
63,2,222289,2,9,0,3,0,4,1,40,1,1
47,1,287480,1,14,0,9,0,4,1,40,1,0
78,0,107762,2,9,2,9,1,4,1,24,1,0
17,0,202521,4,7,1,9,3,4,1,40,1,0
40,2,204116,5,13,2,9,1,4,0,40,1,0
30,0,29662,3,12,0,7,5,4,0,25,1,1
27,0,116358,3,10,1,2,3,1,1,40,0,0
33,0,208405,1,14,0,9,0,4,1,50,1,1
34,1,284843,2,9,1,4,1,2,1,60,1,0
34,1,117018,3,10,1,10,1,4,0,40,1,0
23,0,81281,3,10,0,0,0,4,1,40,1,0
42,1,340148,3,10,0,0,5,4,0,40,1,0
29,0,363425,5,13,1,9,1,4,1,40,1,0
45,0,45857,2,9,2,0,1,4,0,28,1,0
24,1,191073,2,9,1,1,3,4,1,40,1,0
44,0,116632,3,10,0,9,0,4,1,40,1,1
27,0,405855,4,5,1,2,2,4,1,40,0,0
20,0,298227,3,10,1,11,1,4,1,35,1,0
44,0,290521,2,9,2,3,4,2,0,40,1,0
51,0,56915,2,9,0,2,0,0,1,40,1,0
20,0,146538,2,9,0,6,0,4,1,40,1,0
17,0,258872,4,7,1,9,3,4,0,5,1,0
19,0,206399,2,9,1,6,3,2,0,40,1,0
45,2,197332,3,10,0,2,0,4,1,55,1,1
60,0,245062,2,9,0,2,0,4,1,40,1,1
42,0,197583,3,12,0,3,0,2,1,40,1,1
44,2,234885,2,9,0,11,5,4,0,40,1,1
40,0,72887,3,11,0,6,0,1,1,40,1,1
30,0,180374,2,9,0,3,5,4,0,40,1,0
38,0,351299,3,10,0,13,0,2,1,50,1,0
23,0,54012,2,9,0,13,0,4,1,60,1,0
32,0,115745,3,10,0,9,0,4,1,40,1,0
44,0,116632,3,12,1,4,3,4,1,40,1,0
54,1,288825,2,9,0,13,0,2,1,40,1,0
32,0,132601,5,13,0,9,0,4,1,50,1,0
50,0,193374,4,4.5,2,2,4,4,1,40,1,0
24,0,170070,5,13,1,12,1,4,0,20,1,0
37,0,126708,2,9,0,0,5,4,0,60,1,0
52,0,35598,2,9,2,13,4,4,1,40,1,0
38,0,33983,3,10,0,13,0,4,1,40,1,0
49,0,192776,1,14,0,3,0,4,1,45,1,1
30,0,118551,5,13,0,12,5,4,0,16,1,1
60,0,201965,3,10,1,9,4,4,1,40,1,1
22,0,139883,3,10,1,9,3,4,1,40,1,0
35,0,285020,2,9,1,2,1,4,1,40,1,0
30,0,303990,2,9,1,13,1,4,1,60,1,0
67,0,49401,3,11,2,7,1,4,0,24,1,0
46,0,279196,5,13,1,2,1,4,0,40,1,0
17,0,211870,4,5,1,7,1,4,1,6,1,0
22,0,281432,3,10,1,5,3,4,1,30,1,0
27,0,161155,4,6,1,7,1,4,1,40,1,0
23,0,197904,2,9,1,7,4,4,0,35,1,0
33,0,111746,3,12,0,2,0,4,1,45,0,0
43,2,170721,3,10,0,2,0,4,1,20,1,0
28,1,70100,5,13,1,9,1,4,1,20,1,0
41,0,193626,2,9,2,2,4,4,0,40,1,0
52,0,271749,4,8,1,9,2,2,1,40,1,0
25,0,189775,3,10,2,0,3,2,0,20,1,0
63,0,401531,4,4.5,0,9,0,4,1,35,1,0
59,1,286967,2,9,0,13,0,4,1,45,1,0
45,1,164427,5,13,2,9,4,4,0,40,1,0
38,0,91039,5,13,0,11,0,4,1,60,1,1
40,0,347934,2,9,1,7,1,4,0,35,1,0
46,1,371373,2,9,2,0,1,4,1,40,1,0
35,0,32220,3,12,1,3,1,4,0,60,1,0
34,0,187251,2,9,2,9,4,4,0,25,1,0
33,0,178107,5,13,1,2,3,4,1,20,1,0
41,0,343121,2,9,2,0,4,4,0,36,1,0
20,0,262749,3,10,1,6,3,4,1,40,1,0
23,0,403107,4,4.5,1,7,3,4,1,40,0,0
26,0,64293,3,10,1,9,1,4,0,35,1,0
72,0,303588,2,9,0,9,0,4,1,20,1,0
23,1,324960,2,9,1,4,1,4,1,40,0,0
62,1,114060,2,9,0,13,0,4,1,40,1,0
52,0,48925,3,10,0,0,0,4,1,40,1,0
58,0,180980,3,10,2,7,4,4,0,42,0,0
25,0,181054,5,13,1,11,1,4,0,40,1,0
24,0,388093,5,13,1,3,1,2,1,40,1,0
19,0,249609,3,10,1,10,3,4,1,8,1,0
43,0,112131,3,10,0,3,0,4,1,40,1,0
47,1,415887,2,9,2,0,4,2,0,40,1,0
39,0,91996,2,9,2,7,4,4,0,40,1,0
49,0,141944,3,11,2,5,4,4,1,42,1,0
53,0,251804,4,4.5,2,9,4,2,0,30,1,0
32,0,37070,3,11,1,2,1,4,1,45,1,0
